25C-L8R0,,
Time (min),Intensity (a.u.),
0.008333333768,12.00181866,
0.02500000037,11.43962479,
0.04166666791,12.09765053,
0.05833333358,11.32113838,
0.07500000298,11.14988804,
0.09166666865,10.87866879,
0.1083333343,11.37326145,
0.125,11.41260815,
0.1416666657,11.72283268,
0.1583333313,11.81616402,
0.174999997,12.17708302,
0.1916666627,11.33487797,
0.2083333284,11.54220963,
0.224999994,10.5955801,
0.2416666597,11.42838573,
0.2583333254,11.20298672,
0.275000006,11.78803825,
0.2916666567,10.9905901,
0.3083333373,11.90036297,
0.3249999881,11.89728451,
0.3416666687,11.90916824,
0.3583333194,11.67034721,
0.375,12.19398975,
0.3916666806,12.18617535,
0.4083333313,12.03109074,
0.4250000119,11.45061398,
0.4416666627,11.91617775,
0.4583333433,12.03025532,
0.474999994,11.18984032,
0.4916666746,11.7935257,
0.5083333254,11.20380974,
0.5249999762,11.10751438,
0.5416666865,11.17710018,
0.5583333373,11.9346199,
0.5749999881,11.89502811,
0.5916666389,11.60372066,
0.6083333492,11.87208748,
0.625,11.74753857,
0.6416666508,11.78284836,
0.6583333611,11.24277782,
0.6750000119,11.05429935,
0.6916666627,11.31085873,
0.7083333135,11.91842651,
0.7250000238,11.5215044,
1.096687436,3.787158012,
1.113354087,3.864631414,
1.130020738,3.455635548,
1.146687388,3.943565369,
1.163354158,3.467720985,
1.180020809,3.209093094,
1.19668746,3.074564934,
1.213354111,3.624106169,
1.230020761,3.348790646,
1.246687412,3.556092739,
1.263354063,3.935921907,
1.280020833,3.860166073,
1.296687484,3.782217741,
1.313354135,3.556013107,
1.330020785,3.637785196,
1.346687436,3.585162401,
1.363354087,3.596924543,
1.380020738,3.598688364,
1.396687388,3.313002348,
1.413354158,3.533387899,
1.430020809,3.535355806,
1.44668746,3.427265882,
1.463354111,3.485247374,
1.480020761,3.29535985,
1.496687412,3.6696136,
1.513354063,3.349104643,
1.530020833,3.302878857,
1.546687484,3.170314789,
1.563354135,3.240636826,
1.580020785,3.375215292,
1.596687436,3.317084789,
1.613354087,3.316803455,
1.630020738,3.427196026,
1.646687388,3.801109076,
1.663354158,3.664033413,
1.680020809,3.272536039,
1.69668746,3.144237995,
1.713354111,3.001738787,
1.730020761,3.677728891,
1.746687412,3.409298897,
1.763354063,3.42828083,
1.780020833,3.599928856,
1.796687484,3.215419531,
1.813354135,3.65904212,
1.830020785,3.4197855,
1.846687436,3.407589674,
1.863354087,3.264358044,
1.880020738,3.095434904,
1.896687388,3.580517769,
61.36318588,3.127326965,
61.37985611,3.40324831,
61.39652252,3.174153566,
