25C-L6R1,,
Time (min),Intensity (a.u.),
0.008333333768,6.770184517,
0.02500000037,6.174459457,
0.04166666791,6.810534477,
0.05833333358,6.521739006,
0.07500000298,6.474823475,
0.09166666865,6.445770264,
0.1083333343,6.463190556,
0.125,6.518574715,
0.1416666657,6.474816799,
0.1583333313,6.290878773,
0.174999997,6.780787945,
0.1916666627,6.282105446,
0.2083333284,5.952011585,
0.224999994,6.608418941,
0.2416666597,6.737256527,
0.2583333254,6.490684032,
0.275000006,6.428598881,
0.2916666567,6.243531227,
0.3083333373,6.396105289,
0.3249999881,6.942977428,
0.3416666687,6.517592907,
0.3583333194,6.740106106,
0.6753333211,1.797665358,
0.6920000315,2.283887148,
0.7086666822,2.572527647,
0.725333333,1.778606296,
0.7419999838,1.76506424,
0.7586666942,1.927267075,
0.7753333449,1.982422352,
0.7919999957,1.960396051,
0.8086666465,2.190237761,
0.8253333569,2.174933672,
0.8420000076,2.290047169,
0.8586666584,2.251426697,
0.8753333688,2.034519672,
0.8920000196,2.113828897,
0.9086666703,2.356281281,
0.9253333211,2.045079231,
0.9420000315,2.089694023,
0.9586666822,2.167279482,
0.975333333,2.222764015,
0.9919999838,1.902464151,
1.008666635,2.003402948,
1.025333285,1.964636564,
1.042000055,2.221767664,
1.058666706,2.281799793,
1.535312533,9.694693565,
1.551979184,9.2594347,
1.568645835,8.75594902,
1.585312486,9.188195229,
1.601979136,8.907894135,
1.618645906,9.458086967,
1.635312557,9.471554756,
1.651979208,9.343483925,
1.668645859,9.091958046,
1.68531251,9.137926102,
1.70197916,9.175757408,
1.718645811,8.641963959,
1.735312581,8.372847557,
1.751979232,8.977971077,
1.768645883,8.403842926,
1.785312533,8.728328705,
1.801979184,8.851712227,
1.818645835,8.008777618,
1.835312486,8.271457672,
1.851979136,9.045594215,
1.868645906,7.978963852,
1.885312557,8.342236519,
1.901979208,8.273369789,
1.918645859,8.179579735,
1.93531251,8.546725273,
1.95197916,7.45130825,
1.968645811,7.978672981,
1.985312581,8.448277473,
2.001979113,8.457501411,
2.018645763,8.74655056,
2.035312414,8.922000885,
2.051979303,8.29046154,
2.068645954,7.879123211,
2.085312605,8.457330704,
2.101979256,8.079886436,
2.118645906,7.999655724,
2.135312319,7.55532074,
2.15197897,8.289252281,
2.16864562,8.250444412,
2.18531251,7.964774132,
2.20197916,8.464814186,
2.218645811,7.966090202,
2.235312462,7.714876652,
2.251979113,8.312543869,
2.268645763,8.042563438,
2.285312414,8.438696861,
2.301979065,7.851626873,
2.318645716,8.046385765,
2.335312366,7.405717373,
2.351979017,7.547311306,
2.368645668,7.647116661,
2.385312319,7.86856842,
2.40197897,8.552301407,
2.840395927,12.51174164,
2.857062578,12.49435711,
2.873729229,12.22066593,
2.89039588,11.64387703,
2.907062531,12.2553606,
2.923729181,12.40645695,
2.940395832,11.57457829,
2.957062483,11.28174686,
2.973729134,11.83434772,
2.990395784,12.33542919,
3.007062435,11.46481133,
3.023729086,12.1189146,
3.040395975,11.59888458,
3.057062626,11.35820866,
3.073729277,11.0588026,
3.090395927,11.22999191,
3.107062578,11.17663574,
3.123729229,11.63680267,
3.14039588,11.55933571,
3.157062531,11.2482233,
3.173729181,12.31426525,
3.190395832,11.11899281,
3.207062483,10.87991142,
3.223729134,11.44697189,
3.240395784,10.69792843,
3.257062435,11.03047943,
3.273729086,10.8464756,
3.290395975,11.06452942,
3.307062626,11.47196865,
3.323729277,11.47814369,
3.340395927,12.14958572,
3.357062578,11.63956451,
3.373729229,10.597085,
3.39039588,11.22391701,
3.407062531,11.58433247,
3.423729181,11.06842327,
3.440395832,11.90736389,
3.457062483,11.19302845,
3.473729134,11.10208893,
3.490395784,11.27087688,
3.507062435,11.38637733,
3.523729086,10.90014744,
3.540395975,12.62694454,
3.557062626,10.64461708,
3.573729277,10.05583954,
3.590395927,11.15453434,
3.607062578,10.97740841,
3.623729229,11.3802166,
3.64039588,10.12241459,
3.657062531,10.31877136,
3.673729181,11.52916336,
3.690395832,10.96195889,
3.707062483,10.69137287,
3.723729134,10.98952675,
3.740395784,10.44560337,
3.757062435,10.37036324,
3.773729086,10.7340107,
3.790395975,11.18697929,
3.807062626,9.929760933,
3.823729277,10.51047516,
3.840395927,11.04725361,
3.857062578,10.6402626,
3.873729229,11.0368681,
3.89039588,10.87644577,
3.907062531,11.65743446,
3.923729181,11.03398323,
3.940395832,9.965666771,
4.960541725,19.22187996,
4.977208614,18.15289688,
4.993875027,18.91252899,
5.010541916,20.18381691,
5.027208328,20.11116028,
5.043875217,20.58087158,
5.06054163,22.15009499,
5.077208519,20.64557838,
5.093874931,22.42208481,
5.110541821,20.65697098,
5.127208233,22.10163498,
5.143875122,22.99784088,
5.160542011,21.99184036,
5.177208424,22.25844383,
5.193875313,23.45468903,
5.210541725,23.33246994,
5.227208614,24.18745995,
5.243875027,25.60087395,
5.260541916,24.81075096,
5.277208328,25.42187691,
5.293875217,25.66774368,
5.31054163,26.99399376,
5.327208519,26.61462021,
5.343874931,26.77951622,
5.360541821,28.10895348,
5.377208233,28.20271683,
5.393875122,28.31687737,
5.410542011,28.1452179,
5.427208424,29.39978027,
5.443875313,29.0673275,
5.460541725,29.76122856,
5.477208614,30.11638832,
5.493875027,30.22637749,
5.510541916,31.25312996,
5.527208328,31.65854454,
5.543875217,33.17553711,
5.56054163,32.87202835,
5.577208519,33.34455109,
5.593874931,33.75151062,
5.610541821,34.41507339,
5.627208233,34.6183815,
5.643875122,34.93301773,
5.660542011,35.76298141,
5.677208424,35.6545105,
5.693875313,35.00788498,
5.710541725,36.3215065,
5.727208614,36.69647217,
5.743875027,38.64350891,
5.760541916,39.32450104,
5.777208328,37.81975555,
5.793875217,39.62413788,
5.81054163,39.79537964,
5.827208519,40.33618164,
5.843874931,40.70383835,
5.860541821,38.59957123,
5.877208233,41.85465622,
5.893875122,40.90821457,
5.910542011,42.28100204,
5.927208424,42.56304169,
5.943875313,43.06106567,
5.960541725,43.75273132,
5.977208614,42.92501831,
5.993875027,44.64518356,
6.010541916,45.21161652,
6.027208328,43.35353851,
6.043875217,45.10894012,
6.06054163,45.95000839,
6.077208519,46.70056152,
6.093874931,45.55321503,
6.110541821,46.70422363,
6.127208233,46.9989624,
6.143875122,48.88192368,
6.160542011,48.67593384,
6.177208424,49.41936111,
6.193875313,48.62976074,
6.210541725,49.8262291,
6.227208614,50.45836258,
6.243875027,49.97881317,
6.260541916,50.87410736,
6.277208328,51.49861908,
6.293875217,52.82448196,
6.31054163,51.59314346,
6.327208519,51.66512299,
6.343874931,52.70950699,
6.360541821,53.22580719,
6.377208233,54.20622253,
6.393875122,53.81523132,
6.410542011,54.80993271,
6.427208424,55.69002914,
6.443875313,57.02277756,
6.460541725,55.07326126,
6.477208614,54.90805817,
6.493875027,57.11240005,
6.510541916,55.870327,
6.527208328,58.14246368,
6.543875217,59.07888031,
6.56054163,57.04384613,
6.577208519,58.29883957,
6.593874931,58.43219376,
6.610541821,57.49014282,
6.627208233,59.01115799,
6.643875122,59.54740524,
6.660542011,60.229496,
6.677208424,59.61483765,
6.693875313,62.59816742,
6.710541725,61.34118652,
6.727208614,62.08810043,
6.743875027,62.03471375,
6.760541916,60.07888412,
6.777208328,62.40997696,
6.793875217,60.8468132,
6.81054163,61.82618332,
6.827208519,63.53326035,
6.843874931,63.37263489,
