25C-L8R0,,
Time (min),Intensity (a.u.),
0.008333333768,11.0586977,
0.02500000037,11.75913715,
0.04166666791,11.94148827,
0.05833333358,12.2118206,
0.07500000298,11.91572952,
0.09166666865,11.07017994,
0.1083333343,11.92265034,
0.125,11.49076939,
0.1416666657,11.14737797,
0.1583333313,12.15237331,
0.174999997,11.71164417,
0.1916666627,11.77450275,
0.2083333284,11.51834869,
0.224999994,11.85266495,
0.2416666597,10.87947464,
0.2583333254,11.77944279,
0.275000006,11.53921032,
0.2916666567,10.95634079,
0.3083333373,11.46813679,
0.3249999881,11.99394608,
0.3416666687,12.09242725,
0.3583333194,12.02804184,
0.375,12.48293591,
0.3916666806,11.95330524,
0.4083333313,11.32226372,
0.4250000119,11.35034275,
0.4416666627,11.61754036,
0.4583333433,11.72521591,
0.474999994,12.09146881,
0.4916666746,11.85030556,
0.5083333254,11.90729332,
0.5249999762,12.51368904,
0.5416666865,11.0674057,
0.5583333373,11.75707912,
0.5749999881,11.52418232,
0.9579166174,3.329557419,
0.9745833278,3.600976944,
0.9912499785,4.040128708,
1.007916689,3.383154154,
1.02458334,3.795890331,
1.04124999,3.89695549,
1.057916641,4.160887718,
1.074583292,3.691012383,
1.091249943,3.786602259,
1.107916594,3.545835018,
1.124583364,3.729856491,
1.141250014,3.794829607,
1.157916665,3.481835842,
1.174583316,4.039774418,
1.191249967,3.60705018,
1.207916617,3.450530767,
1.224583268,3.712739468,
1.241249919,3.68101573,
1.257916689,3.736996889,
1.27458334,3.584012985,
1.29124999,3.819023848,
1.307916641,3.953855991,
1.324583292,3.658272028,
1.341249943,3.481154442,
1.357916594,3.253385544,
2.054854155,10.57047558,
2.071520805,10.17818832,
2.088187456,10.28809452,
2.104854107,10.99028492,
2.121520758,10.37520313,
2.138187647,10.48311901,
2.154854298,10.13886261,
2.171520948,10.20811081,
2.188187599,9.554932594,
2.20485425,10.37368584,
2.221520901,9.800977707,
2.238187551,9.809929848,
2.254854441,10.68212128,
2.271521091,9.966314316,
2.288187742,10.49896812,
2.304854393,9.56217289,
2.321521044,9.904725075,
2.338187695,10.21899223,
2.354854345,9.850083351,
2.371520996,10.1271534,
2.388187647,9.817575455,
2.404854298,10.47403431,
2.421520948,9.953948975,
2.438187599,9.81662941,
2.94024992,12.1847105,
2.956916571,11.73329639,
2.973583221,11.73887062,
2.990249872,13.19039917,
3.006916523,12.89468861,
3.023583174,12.34482288,
3.040249825,12.49275684,
3.056916475,12.26460648,
3.073583126,12.80430508,
3.090249777,12.71514797,
3.106916666,11.46631241,
3.123583317,12.29301357,
3.140249968,12.01025105,
3.156916618,12.55846405,
3.173583269,12.27964878,
3.19024992,12.21653557,
3.206916571,12.83679104,
3.223583221,12.29600239,
3.240249872,12.50314522,
3.256916523,11.92444134,
3.273583174,12.31795216,
3.290249825,12.31870079,
3.306916475,12.44601917,
3.323583126,12.00309849,
3.340249777,12.31729126,
3.356916666,12.80060768,
3.373583317,13.42247772,
3.390249968,12.1006813,
3.406916618,12.49677658,
3.423583269,12.88090229,
3.44024992,12.39644909,
3.456916571,12.96426773,
3.473583221,11.99755383,
3.490249872,12.03543758,
3.506916523,12.03499126,
3.523583174,12.34088326,
4.081250191,27.26509666,
4.097916603,24.12886047,
4.114583492,25.1652813,
4.131249905,24.5880661,
4.147916794,25.23906326,
4.164583206,24.93775749,
4.181250095,26.46546364,
4.197916508,26.23784065,
4.214583397,27.88515472,
4.231249809,28.51187134,
4.247916698,28.54728317,
4.264583111,29.43316269,
4.28125,29.82304573,
4.297916889,30.43488312,
4.314583302,32.25466156,
4.331250191,31.91995239,
4.347916603,32.57696915,
4.364583492,32.74321365,
4.381249905,34.68453217,
4.397916794,34.98308563,
4.414583206,36.83265686,
4.431250095,36.35121918,
4.447916508,36.74198914,
4.464583397,37.26938629,
4.481249809,39.16707611,
4.497916698,39.67473221,
4.514583111,38.81279755,
4.53125,39.97063446,
4.547916889,41.42285538,
4.564583302,42.21501923,
4.581250191,43.21373367,
4.597916603,43.51299286,
4.614583492,44.23460388,
4.631249905,45.34749222,
4.647916794,44.6508255,
4.664583206,45.10819626,
4.681250095,45.32899094,
4.697916508,46.07995224,
4.714583397,47.5821228,
4.731249809,48.52421951,
4.747916698,48.73691177,
4.764583111,48.85026169,
4.78125,48.37640762,
4.797916889,51.08944321,
4.814583302,50.82331085,
4.831250191,52.48692322,
4.847916603,51.36626816,
4.864583492,54.51749039,
4.881249905,54.3084259,
4.897916794,53.31834412,
4.914583206,56.56758881,
4.931250095,56.30869675,
4.947916508,54.96785736,
4.964583397,57.57629013,
4.981249809,57.9057045,
4.997916698,58.9898262,
5.014583111,58.73142624,
5.03125,58.96538925,
5.047916889,60.036129,
5.064583302,58.98085403,
5.081250191,60.67194366,
5.097916603,60.69221878,
5.114583492,63.45706558,
5.131249905,62.37657928,
5.147916794,64.41735077,
5.164583206,64.46185303,
5.181250095,65.8184967,
5.197916508,65.45297241,
5.214583397,65.66281891,
5.231249809,66.22407532,
5.247916698,66.43412018,
5.264583111,67.82735443,
5.28125,67.33174133,
5.297916889,68.53907776,
5.314583302,69.51464844,
5.331250191,68.96614838,
