25C-L8R0,,
Time (min),Intensity (a.u.),
0.008333333768,11.65119171,
0.02500000037,12.2454052,
0.04166666791,11.63165951,
0.05833333358,11.49167633,
0.07500000298,11.80679226,
0.09166666865,12.18634701,
0.1083333343,11.97454834,
0.125,11.06372643,
0.1416666657,11.331563,
0.1583333313,11.23205185,
0.174999997,12.22175217,
0.1916666627,11.846632,
0.2083333284,11.24720192,
0.224999994,11.75695515,
0.2416666597,11.72993183,
0.2583333254,11.06371498,
0.275000006,12.01228714,
0.2916666567,11.20348644,
0.3083333373,11.49351311,
0.3249999881,11.92829227,
0.3416666687,11.29759979,
0.3583333194,12.16217518,
0.375,12.33056545,
0.3916666806,11.11911011,
0.4083333313,12.07281685,
0.4250000119,12.48104858,
0.4416666627,11.85586452,
0.4583333433,12.5659523,
0.474999994,11.36183739,
0.4916666746,11.40369415,
0.5083333254,11.74024677,
0.5249999762,11.85836601,
0.5416666865,11.52493382,
0.5583333373,11.34719944,
0.5749999881,12.72831917,
0.5916666389,11.62924004,
0.9638541341,3.524514437,
0.9805208445,3.589442015,
0.9971874952,3.740021944,
1.013854146,3.469707012,
1.030520797,3.699849606,
1.047187448,3.800804377,
1.063854098,3.173785686,
1.080520868,3.48358655,
1.097187519,3.578767776,
1.11385417,3.716525793,
1.13052094,3.487374306,
1.147187591,3.419250727,
1.163854241,2.838961124,
1.180520892,3.417556524,
1.197187543,3.672668219,
1.213854194,3.298507929,
1.230520844,3.21637845,
1.247187495,3.689969301,
1.263854265,3.796408892,
1.280520916,3.152756453,
1.297187567,3.102962017,
1.313854218,3.195109129,
1.330520868,3.370884657,
1.347187519,2.968898296,
1.36385417,3.501810789,
1.38052094,3.144785166,
1.889854193,10.33592892,
1.906520844,10.72275162,
1.923187494,10.34083939,
1.939854145,9.360294342,
1.956520796,10.28792191,
1.973187566,10.51668072,
1.989854217,10.09588814,
2.006520748,9.97940731,
2.023187399,10.56673145,
2.039854288,10.34824848,
2.056520939,9.527176857,
2.07318759,10.07544041,
2.08985424,9.749386787,
2.106520891,9.290645599,
2.123187542,10.20176029,
2.139854193,9.691233635,
2.156520844,10.51968479,
2.173187494,9.836500168,
2.189854145,9.366192818,
2.206520796,10.16604519,
2.223187447,9.785288811,
2.239854097,9.826176643,
2.256520748,10.47720718,
2.816666603,20.09669685,
2.833333254,19.56929207,
2.849999905,19.4979496,
