25C-L8R0-RC-withoutH9,,
Time (min),Intensity (a.u.),
0.008333333768,11.2568903,
0.02500000037,12.60660076,
0.04166666791,11.87255859,
0.05833333358,12.05113506,
0.07500000298,12.37922859,
0.09166666865,12.34441566,
0.1083333343,12.25055504,
0.125,11.86693859,
0.1416666657,12.33095169,
0.1583333313,12.65214729,
0.174999997,12.18573093,
0.1916666627,12.98109913,
0.2083333284,12.093256,
0.224999994,11.85529804,
0.590708375,3.624215841,
0.6073750257,3.466717243,
0.6240416765,3.309756041,
0.6407083273,3.795444489,
0.6573750377,3.541527987,
0.6740416884,3.600183249,
0.6907083392,3.782501459,
0.70737499,3.787239552,
0.7240417004,3.859080076,
0.7407083511,3.818343878,
0.7573750019,3.717011929,
0.7740417123,3.937388659,
0.7907083631,3.393660069,
0.8073750138,3.554928541,
0.8240416646,3.567232132,
0.840708375,3.689135075,
0.8573750257,3.578222275,
0.8740416765,3.584793806,
0.8907083273,3.678383112,
0.9073750377,3.373608351,
0.9240416884,3.319498301,
0.9407083392,3.426419258,
0.95737499,3.620345592,
0.9740417004,3.134365082,
0.9907083511,3.662632227,
1.007375002,3.326467752,
1.024041653,3.61046195,
1.040708303,3.150557518,
1.057375073,3.306766987,
1.074041724,3.606137276,
1.606333256,13.4790678,
1.622999907,13.10502625,
1.639666677,13.14285469,
1.656333327,13.4224472,
1.672999978,13.39149952,
1.689666629,13.81062031,
1.70633328,13.36501694,
1.72299993,13.44297218,
1.739666581,13.85184956,
1.756333232,12.42565536,
1.773000002,13.6414566,
1.789666653,13.63331127,
1.806333303,13.93404293,
1.822999954,12.08654594,
1.839666605,12.86141491,
1.856333256,13.12771893,
1.872999907,12.72679806,
1.889666677,12.2502203,
1.906333327,12.26341343,
1.922999978,12.9268198,
1.939666629,12.59600163,
1.95633328,13.2819891,
2.476500034,15.84290504,
2.493166685,15.81226826,
2.509833336,15.97168446,
2.526499987,15.38848591,
2.543166637,15.1293745,
2.559833288,14.61623192,
2.576499939,15.26882267,
2.59316659,15.10809326,
2.609833241,14.90548134,
2.626499891,14.8989296,
2.643166542,14.6495676,
2.659833193,14.87055492,
2.676499844,14.06754112,
2.693166494,15.18374443,
2.709833384,15.13342381,
2.726500034,14.75862408,
2.743166685,13.95734882,
2.759833336,14.19646072,
2.776499987,14.20594215,
2.793166637,14.1761322,
2.809833288,14.28110313,
2.826499939,12.82884502,
2.84316659,13.61639977,
2.859833241,13.65561867,
2.876499891,13.61428738,
2.893166542,13.88424015,
2.909833193,13.35350227,
2.926499844,13.36347485,
2.943166494,13.90420723,
2.959833384,12.97450733,
2.976500034,13.57682896,
2.993166685,13.54763889,
3.009833336,13.36119556,
3.026499987,13.05281067,
3.043166637,13.94334698,
3.059833288,13.76017189,
3.076499939,13.13638687,
3.09316659,12.66544437,
3.109833241,13.19645405,
3.126499891,12.97591209,
3.143166542,13.6943512,
3.159833193,12.90931416,
3.176499844,13.20155907,
3.193166494,12.78794289,
3.209833384,12.60244083,
3.226500034,12.39936352,
3.243166685,12.56377697,
3.259833336,12.61495495,
3.276499987,12.33920193,
3.293166637,13.29073715,
3.309833288,12.85012531,
3.326499939,12.94274139,
3.34316659,12.87897968,
3.359833241,12.57312393,
3.376499891,12.82551861,
3.393166542,12.53699207,
3.409833193,12.0919981,
3.426499844,13.39633179,
3.443166494,13.02626038,
3.459833384,12.78958035,
3.980541706,138.5953064,
3.997208357,149.7227325,
4.013875008,155.7788239,
4.030541897,163.7584534,
4.047208309,172.6130219,
4.063875198,177.7180786,
4.080541611,184.1286469,
4.0972085,188.4842377,
4.113874912,194.7684631,
